Rank,Player,Gold,Silver,Bronze,S Tier,Earnings,medals
292,NcSlasher,6,5,2,0,"$8,874",13
293,bang,5,3,0,0,"$8,870",8
293,Moh,8,6,2,0,"$8,870",16
295,OuTLaW,9,1,2,0,"$8,853",12
296,Skadoodle,4,3,0,0,"$8,850",7
297,Clawdia,2,4,2,0,"$8,800",8
298,DeNaro,3,1,0,0,"$8,732",4
299,Eugene,0,3,1,0,"$8,731",4
300,bramz,13,1,2,0,"$8,674",16
301,jfoeN,13,4,4,0,"$8,672",21
302,retrQ,14,10,1,0,"$8,669",25
303,Fr4nky,8,5,2,0,"$8,663",15
304,frostmind,5,3,1,0,"$8,625",9
305,JinNy,12,8,5,0,"$8,598",25
306,Depyro,7,5,3,0,"$8,591",15
306,Eeyore,6,6,1,0,"$8,591",13
306,Milk,8,0,2,0,"$8,591",10
309,t3xture,0,1,1,0,"$8,571",2
310,Alejo,13,5,2,0,"$8,534",20
310,sickLy,13,6,2,0,"$8,534",21
312,iNTRO,0,2,1,0,"$8,472",3
313,Texta,7,5,0,0,"$8,440",12
313,tucks,7,5,0,0,"$8,440",12
315,RockeT,3,9,4,0,"$8,422",16
316,BraveAF,1,4,1,0,"$8,414",6
317,light,2,1,0,0,"$8,388",3
318,Kehmicals,4,3,2,0,"$8,361",9
319,pleets,5,2,1,0,"$8,354",8
320,gob b,21,5,2,0,"$8,337",28
321,vakk,7,3,2,0,"$8,317",12
322,Shniider,7,5,1,0,"$8,249",13
323,Dobsha,5,5,2,0,"$8,150",12
324,THEE,7,3,4,0,"$8,132",14
325,Acetics,13,8,6,0,"$8,124",27
326,RUBINO,0,1,0,0,"$8,122",1
327,Gray,10,4,1,0,"$8,114",15
328,vice,3,5,4,0,"$8,105",12
329,TiGG,3,4,3,0,"$8,100",10
330,psy,7,11,7,0,"$8,061",25
331,ban,5,7,3,0,"$8,057",15
332,c4Lypso,7,5,0,0,"$8,037",12
333,Rawfiul,5,7,5,0,"$8,008",17
334,Caz,4,7,2,0,"$8,003",13
335,BEAST,5,8,3,0,"$7,968",16
336,Sand,7,3,2,0,"$7,967",12
337,Russ,3,4,0,0,"$7,955",7
338,ntk,2,3,0,0,"$7,937",5
339,minse,11,6,2,0,"$7,934",19
340,xander,4,8,4,0,"$7,932",16
341,NaturE,0,3,1,0,"$7,930",4
342,7ssk7,7,6,2,0,"$7,919",15
343,Bunny,1,1,0,0,"$7,914",2
344,SkaNoodles,7,2,1,0,"$7,867",10
345,fiveK,2,1,2,0,"$7,843",5
346,disk0,7,4,1,0,"$7,808",12
347,naxy,16,7,1,0,"$7,802",24
348,Rexy,4,12,5,0,"$7,798",21
349,drn,16,4,1,0,"$7,792",21
350,nat1,16,2,1,0,"$7,782",19
351,bstrdd,15,4,1,0,"$7,755",20
352,Paincakes,15,2,1,0,"$7,745",18
353,daiki,15,2,1,0,"$7,711",18
354,RvK,4,7,4,0,"$7,692",15
355,hikkA,6,8,8,0,"$7,659",22
356,sonder,8,2,3,0,"$7,650",13
357,GodDead,0,2,0,0,"$7,642",2
358,liazzi,1,2,0,0,"$7,617",3
359,phaze,6,4,1,0,"$7,544",11
360,blackhawk,6,11,5,0,"$7,523",22
